@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten. KocaeliKitapFuarý2015',Negative
'Artýk ne pencerem var seni koyacak Ne masam Sevgilim de yok bu þehirde Çiçek seni alýp ne yapsam..',Negative
'arkadaþýnýzýn eski sevgilisiyle eski sevgilim arkadaþýmla önümde þapur þupur öpüþtüyse ben kaderimden þüphe ederim',Positive
'2.si yarým yýldýr gorusmuyoruz bile 3.sü 5senedir sevgilim yok flört durumum,tanýmaya çalýþtýklarm tabiki oldu,özel hayattýr sanane kimene..',Positive
'seni çookkk seviyorum, canýmsýn beniim./15/15.Görüþmek üzere sevgilim.müsait olduðunda yaz lütfen.Güle güle.mmm/15/15/10',Negative
'Benim sevgilim diye demiyorum gerçekten çok öküz maþþallaaaah.',Positive
'MRdan sonra beni yalnýz býrakmayan sevgilim ????',Positive
'O deðilde, telefon elimden düþmüyor diye herkes sevgilim var sanýyor. Ona çok içerliyorum ya.',Positive
'+ Nikahýna beni çaðýr sevgilim... - Niye ? + Pasdadamý yemiyahh :D',Negative
'Ýyiki doðdun sevgilim.',Negative
'KocaeliKitapFuarý2015 Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten.',Negative
'Bak sevgilim göztepe',Positive
'Beni mutlu görmek sizi yýpratýyor mu lan ? Günaydýn. Sevgilim hala uyuduðu için yataktan çýkamýyom. Napsam ki?',Positive
'Haberim yok ama sevgilim varmýþ janansns',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'anneme ateist bir sevgilim var dedim þuan hastaneye götürüyoruz',Positive
'Türkiye de ki polis arabalarý neden böyle deðil bir türlü anlamýyorum :/',Negative
'Ulan sevgilim bile böyle demez dolandýrýcýlýkta son nokta ??',Positive
'Telefonumu kurcalarken babam kimle mesajlaþýyon lann dedi bi an sevgilim var sandým sevindim',Positive
'O deðilde, telefon elimden düþmüyor diye herkes sevgilim var sanýyor. Ona çok içerliyorum ya.',Positive
'Ayrildiktan 2 gun sonra yeni birine \Sevgilim\ diyecek kadar basit olmayin. KocaeliKitapFuarý2015',Negative
'Uuu iþte benim sevgilim ;)',Positive
'hoþgeldin sevgilim.',Negative
'En son sevgilim olduðunda dolar 2.21di. Ekonomiye can vermek için belki de sevgili bulmam gerekiyordur. Deneyelim bunu, kaybýmýz olmaz? Hý?',Positive
'Ben bu çocuðun alnýna illa sevgilim var mý yazdýrayým kýzlar,vurucam sizi kýzlaar.',Positive
'Motordan bile çok seviyorum seni bir düþün istersen sevgilim :/',Positive
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'Çýk gel sevgilim, Ellerinde papatyalar bir pazar sabahý, Bir bahar müjdesi gibi çýk gel...',Negative
'SEN NASIL YALNIZSIN DÝYOR SENÝN NASIL MANÝTAN OLMAZ DÝYOR AMAN ALLAHIM BU NE GÜZELLÝK AÞIK OLDUM DÝYOR AMA KATÝYYEN SEVGÝ…',Negative
'ya tabikide sevgilim beni BMW siyle almaya geldi.',Positive
'Neden iliþki durumu esprileri yapýyosun sanki biraz abaza gibi oluyo diyen eski sevgilim instagramda her gün bir yeni çýplak göt beðeniyor',Positive
'Ya ben yalnýzlýktan uyanýnca kendime Günaydýn Sevgilim diye þarký açan insaným, sen ne diyon?',Negative
'Benim bi sevgilim olacak ve ben onu kýskanmýcam baþka derdin var mý yarram',Positive
'SEVGÝLÝM ÝLK KISKANÇLIÐINI YAÞIYO????????',Negative
'Eski sevgilim de olsa yavþamana izin vermem tabii.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Beni affetsen artýk,Sevgilim bidaha olmýycak sözz :( ????',Negative
'Haberim yok ama sevgilim varmýþ janansns',Positive
'sevgilim sana þiir yazdým hiç virgül koymadým saçma sapan bir þey oldu sonradan anladým',Positive
'günaydýn sevgilim',Positive
'//Aýshsugsusha sevgilim var benim (daha sevgilisi deðil)',Positive
'O deðilde benim neden sevgilim yok :/ :)',Positive
'Ateist sevgilim kimseyle konusmadigina dair yemin etti??????canim sevgilim sana guveniyorum??????',Positive
' Olsun..',Negative
'Kiraz Mevsimi -Söyle Sevgilim aracýlýðýyla',Negative
'Her sevgilinin eksik bir yönü vardýr.Benim sevgilim mesela:Baðcýlarý var.Ama Beyoðlu,Beþiktaþ,Sarýyer ve Kadýköyü var diye katlanýyoruz.',Positive
'Sevgilim yok, mesaj ataným yok, azýcýk hoþlanan biri bile yok. Ot gibi yaþýyorum.',Negative
'Bana araba kullanmayý öðretecek bi sevgilim olsun istiyorum.. Çok mu þey istiyorum??',Positive
'Ve elbette ki sevgilim, Elbet dolaþacaktýr en þanlý elbisesiyle; iþçi tulumuyla bu güzelim memlekette hürriyet..',Negative
'Ýnsanlarý dövmek için çok sebebim var ama sevgilim de var. Ýkisi bir arada olmuyor, bir de yaþ var tabi malum 20 olduk.',Positive
'ts teþekkürler sevgilim demek',Positive
'daha önümüzde uzun bi yol var bu daha baþlangýç sevgilim ama seninle çok mutluyum seni çok seviyorum ????',Positive
'Ne unutamadigim bi eski sevgilim, ne platonik bi askim, ne takýntýlý oldugum ne de asik oldugum biri yok. Hayatim cok renksiz??',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'DenemeAA1234 Hayal sevgilim',Positive
'BaþKomutan Ýstanbulda Sevgilim sana uzun bir yolculuk borçluyum..',Negative
'lütfen güzel sevgilim dikim kazýk olmuþ senin smina göz dikmiþ parçalmak istiyor senin amcigini silmek istiyorum lütfn tkip et',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sana ilham veren bir kiþinin veya bir þeyin fotoðrafýný payla... — sevgilim ^_^ ama asker gitti :( &lt;3 onu ozleyicem',Positive
'Ya benim sevgilim olsa sataþýcak yer bulamaz sana neden erkekler yazmýyor diye kavga çýkarýr',Positive
'bu eskilerden gýna geldi boynuzlandýðýný bilip susan sevgilim var triplerinden daha çok gýna geldi ama belki de doðrusu odur :p',Positive
'Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten. KocaeliKitapFuarý2015',Negative
'nikahýna beni çaðýr sevgilim istersen þahidin olurum senin BestFandomCA2015 Directioners',Positive
'sevgilim annarsýn ya BestFandomCA2015 ELF',Positive
'Aq artk bi sevgilim olsa da ona kahvaltý hazýrlayýp dertlerimi unutsam.',Positive
'Sensizlik beni bitirdi desem Yýkýldým sevgilim kaldýrýr mýsýn',Positive
'Sevgilim diye demiyorum hiç yoktur kendisi',Negative
'KocaeliKitapFuarý2015 Ayrildiktan 2 gun sonra yeni birine \Sevgilim\ diyecek kadar basit olmayin.',Negative
'Ayný kýyafetleri giyip gezmenin modasý geçti, geciktik bu günah senin sevgilim. Allah belaný versin!!',Negative
'Sevgilim bana biz aski meleklerden caldik dese \&amp;quot;haramdan hayir gelmez\&amp;quot; der o iliskiyi bitiririm. KocaeliKitapFuarý2015',Negative
'Sevgilim erkek erkeðe tabi ki bir yerlere gidebilir mesela askere.',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Ya aslýnda sevgilim varkende mutlu olmuyorum yalnýzkende olmuyorum sanýrým sorun bende Allahým bana bi güncelleme getirirmisin bozuldum aq',Positive
'KocaeliKitapFuarý2015 Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten.',Negative
'ts teþekkürler sevgilim demek',Positive
'daha güzel olayým istiyorum daha çok para ve daha medeni aile daha ilgili yakýþýklý sevgilim olsun',Positive
'sus bak para veririm sana. sevgilim sohbetime doyamýyor :D',Negative
'Beni sen akþamcý ettin hayal sevgilim DenemeAA1234',Positive
'en son gtada sevgilim olmuþtu, onu da yanlýþlýkla ezmiþtim zaten.',Positive
'- Kanka dýþarý gelsene? + Gelemem, sevgilim kýzýyor. - Senin sevgilin mi vardý? + Yoktu deðil mi? Geliyorum tamam.',Positive
'Sevgilim olsaydý da olmazdý insan olan böyle uyanmaz, týrýn altýnda feci þekilde can vermiþim kimse söylememiþ.',Negative
'Ýdâm kalmadý memlekette sevgilim. Asma artýk suratýný!',Negative
'sevgilim arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Positive
'Hem sevgilim yok hem þarjým bitiyor. Düpe düz saçmalýk.',Positive
'Giderek birbirimizden uzaklaþýyoruz sevgilim.. Ve sen buna izin veriyorsun..',Positive
'sevgilim var idare eder güzellikteyim durumumuz iyi ailem evden çýkmama izin veriyo en iyisini istiyorum, her þeyin daha fazlasýný istiyorum',Positive
'baþladýðý yerde biter tüm yolculuklar sevgilim ??',Positive
'Annemin bildigi ama benim bilmedigim bir sevgilim var. KocaeliKitapFuarý2015',Positive
'Her sbh kokunla uyanmayi seviyorum sevgilim..',Negative
'eski sevgilim okadar gizemliydi ki benden bi yaþ küçük olduðunu 2 sene sonra öðrendim jzskdhszakjh',Positive
'Sevgilim hala uyanmadý ne yapmalýyým',Negative
'yemiþim sermayesini, serbest ticaretini filan. ben seni özlediðim zaman, Arjantinde bir çocuk aðlar. iþte asýl globalizas…',Negative
'Sevgilim arkadaþlarýyla gece takýlabilir ben bunda bir sakýnca görmüyorum sonuçta ölüm Allahýn emri.',Negative
'SEVGÝLÝM BENÝ EVE ÇAÐIRINCA',Negative
'Bana sevgilim diyen sesini duymaliyim ...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Sevgilim yok, mesaj ataným yok, azýcýk hoþlanan biri bile yok. Ot gibi yaþýyorum.',Negative
'Sevgilim yok, mesaj ataným yok, azýcýk hoþlanan biri bile yok. Ot gibi yaþýyorum.',Negative
'Sende kankam ol ya yakýþýklýsýnya sevgilim olma zaten hihi tamam.',Positive
'Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten. KocaeliKitapFuarý2015',Negative
'farkýndayým sevgilim yoksa bunlarýn hepsini Ayýk kafayla yapamazsýn yani ??',Positive
'Yaþlý ama her geçen gün gençleþen sevgilim Fenerbahçem ? ??',Positive
'Sevgilim ??¦',Negative
'Bu soruyu cozersem sevgilim olucak diyen arkadasim var benim su sinav bitsinde psikolojiler duzelsin',Positive
'Keþke sevgilim olsada ayrýlsak',Positive
'Benim caným babam Günaydýn nar çiçeðim sevgilim diye bi þarkýyla uyandýrýyor, ama uyandýrýyo iþte. ??',Negative
'Aman sevgilim rüzgar savurmasýn saçlarýný... Ne yana savursan bu bereketli acý gelir bulur beni...',Positive
'4 sene önceki sevgilim numaramý bulmuþ sabah sabah rüyamda seni gördüm diye arýyor lan ben senin ismini cismini unuttum rüyanda ne iþim var',Positive
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'Bugunlerde seni stalklamayý ihmal ettim sevgilim kb.',Positive
'sevgilim kedinin ciger beklediði gibi bekliyorum:(',Positive
'sevgilim olunca onla güzel kýzlarý birlikte konuþcam ne o öyle ben mi o mu olayý',Positive
'Benim seni kaybettiðim gibi sevgilim',Positive
'Benim bilmediðim bir sevgilim mi var bebeðim ????',Positive
'Siyah çoraplýlardan doðan bu sevda Büyüyor omuzlarýmýzda ! ???? ??Sevgilim 108 yaþýnda ???? Fenerbahçe',Negative
'Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten. KocaeliKitapFuarý2015',Negative
'günaydýn sevgilim ??',Positive
'Hayal sevgilim Deneme1234',Positive
'KocaeliKitapFuarý2015 Sevgilim bana biz aski meleklerden caldik dese \haramdan hayir gelmez\ der o iliskiyi bitiririm.',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'KocaeliKitapFuarý2015 Annemin bildigi ama benim bilmedigim bir sevgilim var.',Positive
'Trabzonum benim ? Biricik sevgilim?? Söyle senden baþkaa ? Kimim var beniiiim ?? BugünGünlerdenTRABZONSPOR ????',Positive
'Günaydýn sevgilim yok.',Positive
'Sanýrým sevgilim öldü',Positive
'Yazin cok yakin akrabalarimizin dugunu var iki tanesine eski sevgilim geliyor ve bunu bana haber veren annem cok iyi yaptin anne tsk',Positive
'Karnýmýn guruldamasýný telefon titreþimi sanan bir sevgilim var',Positive
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'sevgilim uyanmýyor.',Positive
'Sensiz bi hiçim sevgilim...SENÝ ÇOOO...OOOKKK SEVÝYORUM.',Negative
'Güzelsin sevgilim ama çok yakýndan',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'merhaba sevgilim var masöz istersen karýna masaj yapar bende sikerim birlikte',Positive
'Kýzým lafýný hiç duymamýþ insan sevgilim lafýnýn eksikliðini hissetmiyor açýkcasý',Positive
'sevgilisi olunca her yere fotoðraf atanlara kýzmýyorum. Benim ilkokulda sevgilim olduðunda andýmýz töreninde kýzý kürsüye davet…',Positive
'üzgünüm sevgilim suç gözlerimde;(',Positive
'DenemeAA1234 Hayal sevgilim',Positive
'Gel Otur Sevgilim,Yaþlanýnca Kalkarsýn',Negative
'Sevgiliisi olupta hava atanlar varya çok itici benimde sevgilim var ama hava atmyorum !',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Annemin bildiði ama benim bilmediðim bir sevgilim var.',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Sevgilim uzatma istersen artýk alt üstü mesajýna 3 sene sonra cevap verdim bunda abartýlýcak biþey yok ??????',Negative
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne',Negative
'Bizim için mahkeme kuruldu sevgilim… Sen aþkýmýzýn katili olduðun için kalemin çoktan kýrýldý..',Negative
'Annemin bildiði ama benim bilmediðim bir sevgilim var.',Positive
'yüzünden aysýn gün, yana yana vursun üstüme sevgilim.',Negative
'Merhaba eþek sevgilim, ben seni her halükarda seven prensesin',Negative
'Ýyi ki doðdun sevgilim seni coook seviyorum ???????? metinty',Positive
'Sevgilim, saçlarýný tarayýp gerdanýný okþayýp, Ninniler söyleyip, dizlerimde uyutsam seni.',Negative
'Sevgilim diye demiyorum hiç yoktur kendisi',Negative
'Sevgilim bana gül alsa reçel yaparým ama sevgilim yok',Positive
'ama eminim yeþil gözlü olsam,þuanda sevgilim olurdu wðxmwðxwþx',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'SEVGÝLÝM OLUNCA TELEFONUNUN REHBERÝNDEKÝ BÜTÜN ERKEKLERÝ SÝLÝCEM :D:D:D',Negative
'DÜÐÜNÜM diye bir albüm oluþturamadan facebookunda modasý geçti ya bu günah senin sevgilim. ABV.',Negative
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne aracýlýðýyla',Negative
'toprak kokardýn sevgilim, þimdi toprak mý oldun neyleyeyim',Negative
'Caným sevgilim ya ölümden sonra hayat var mý onu merak ettiði için beni aldatmýþ kýyamam ????',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Darvin? inanan sevgilim vardý. Tvd? meymunlar haqda verliþ? baxannan sonra evd?kil?rçün darýxdým deyib rayona getmiþdi..',Positive
'ezel sevgilim olur musun?',Positive
'Sevgilim kýzla buluþmaya gidio ????bana da rahat rahat sölüo!benim diðer cýtýrýda Bilio aldatýlmak mý iyi herþeyi bilmek mi bilemedim ??',Positive
'Onlar Ümidin Düþmanýdýr, Sevgilim, . (ve Çocuklarýn, ve Hayvanlarýn, ve Çiçeklerin)',Negative
'Beni sen akþamcý ettin hayal sevgilim DenemeAA1234',Positive
'nikahýna beni çaðýr sevgilim istersen þahidin olurum senin BestFandomCA2015 Directioners',Positive
'Sevgilimle sinemaya gitsem filmi deðil onu izlerim diyen bir sevgilim bile olmadý be',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Ýyiki doðdun sevgilim! FENERBAHCE108yasýnda',Negative
'Ömrümün sebebi, ustam, sevgilim Yaran derine gitmiþ fitil tutmaz bilirim. beþiktaþ',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Hayal sevgilim DenemeAA1234',Positive
'Çikolata sevgilim nerdesin',Positive
'Günaaaaydýn sevgilim ne güzel birgün deðilmiO? ???? güne senle baþlamak harika þey çocuk ??',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilim erkek erkeðe tabi ki bir yerlere gidebilir mesela askere.',Negative
'Ay sevgilim iyi ki doðmuþta benim olmuþta nice saðlýklý huzurlu birlikte senelereymiþte',Positive
'Deneme1234 Gel sevgilim gel, benim dünyama gel çok zaman var içimde yerini hazýrladým.',Positive
'* Ýnsan ölümü özler mi? Özlüyorum sevgilim… Çünkü sevdamýz mahþere kaldý…',Negative
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'kahvaltý hazýr :/ keþke bir sevgilim olsa pazar kahvaltýsý yapsak:/',Positive
'Onlar ümidin düþmanýdýr sevgilim. Akar suyun, meyve çaðýnda aðacýn, serpilip geliþen hayatýn düþmaný.',Negative
'sevgilim sosyal hesaplarýmýn þifresini isteyince ben',Positive
'Herþey izafi hayal sevgilim DenemeAA1234',Positive
'Biri bana çýkma teklfi etti sevgilim var diyorum anlamýyo hey ben onun sj',Positive
'Bir düþ kadar güzel yanýnda olmak sevgilim. Ben her buluþmamýzda gitmemeni istedim. Çünkü en güzel þeydi ellerine dokunmak.',Positive
'Çýkarken aþkým, sevgilim. Ayrýlýnca sidikli, sümüklü ne arkadaþlar anlatsanýza bana',Negative
'sevgilim,mutluluðum,huzurum iyi ki doðmuþsun,iyi ki benim olmuþsun. Sen benim canýmýn en içisin,nice birlikte mutlu yýllara ??',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Bak sevgilim göztepe',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'esra benimle evlenir misin sevgilim',Positive
'bu gülüþler sen varken var ve olacak herzaman . Seninle bi hayat yaþýcaz sevgilim öyle yada böyle atlatacaz aþkým bir oldukça',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Yok böyle bir güzellik lan',Negative
'Thor gibi bi sevgilim olsa onu eve kitlerdim ve benden baþka kýz görmesini engellerdim nihahah',Positive
'@ayselayturk eski sevgilim benim +18 videolarýmý porno sitede paylaþmýþ rica etsem siteye girer þikayet edermisin? ',Positive
'Günaydýn sevgilim , sen olmasanda hayalinle uyandým bugün.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sana düþman, bana düþman Düþünen insana düþman Vatan ki bu insanlarýn evidir, Sevgilim, onlar vatana düþman. .. -Nazým Hik…',Negative
'amacýolmayansayfatt Allah biliyo sevgilim olunca kýskançlýk krizine gireceðimi, o yüzden vermiyo valla bak.',Positive
'Sevgilim yok ve telefonumun sarjý bitiyor saçmalýða bak ????',Negative
'o kadar saçma dertleriniz var ki. ya benim sevgilimin sevgilim olduðundan haberi yoktu söyleyince ikimiz de baya þaþýrdýk ama ayaktayým',Positive
'amacýolmayansayfatt Hem sevgilim yok, hem þarjým bitiyor. Düpe düz saçmalýk.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Öykünün hiçmi erkek arkadaþý yok sevgilim diye tanýtacaðý yoksa getirin o zaman bakalým Mete ne yapacak????#KirazMevsimi',Positive
'Onlar Ümidin Düþmanýdýr, Sevgilim, . (ve Çocuklarýn, ve Hayvanlarýn, ve Çiçeklerin)',Negative
'Bi zamanlar dostum dediðinizle sevgili, sevgilim dediðinizle de dost olmayý nasýl beceriyosunuz anlatsanýza biraz.',Negative
'Sevgilim olduðunda ben (TEMSÝLÝ)',Negative
'Sevgilim yok þarjým bitiyor saçmalýða bak',Negative
'Allah biliyo sevgilim olunca kýskançlýk krizine gireceðimi, o yüzden vermiyo valla bak. amacýolmayansayfatt',Positive
'Sevgilim yok þarjým bitiyor saçmalýða bak',Negative
'Nice yaþlara sevgilim!',Negative
'Sanki bilmiyorsun sevgilim ben dua’m da en çok sana yer verdiðimi...',Positive
'Gerizekalý sevgilim þarkýsý sendin aþkým',Positive
'amacýolmayansayfatt Annemin bildiði ama benim bilmediðim bir sevgilim var.',Positive
'birlikte pazar kahvaltýsý yapabileceðim bir sevgilim bile yok :((((',Positive
'sevgilim var demektense beni seven biri var demek çok daha iyi. amacýolmayansayfatt',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'acaba sevgilim beni aldatýyor mu ? düþüncesiyle kendinizi yiyip bitirmeyin. size bunu düþündüren insan aldatýyordur zat…',Positive
'sabah altýdan beridir hazýrlanmaya çalýþan sevgilim daha yeni çýkalým aþkým dedi',Positive
'Pierre Lotide kahvelerimizi yudumlayacaðýz sevgilim...',Negative
'Eski sevgilim mallýkta master yapmayý düþünüyo olmalý',Positive
'Þu kýz benim kankim olsa sokakta gezerken sarýlýr,öper sevgilim süsü verirdim',Positive
'Çoðu kez kalbime gömdüm sevdiklerimi, sevgilim. Sana da bir mezar bulurum elbet... Osman ipek',Negative
'hep yaptigimdan ;) ama 2 hafta dir yapamiyorum. Sevgilim yok :(',Negative
'Eminim sevgilim. *elini öper*',Negative
'Eski sevgilim mallýkta master yapmayý düþünüyo olmalý',Positive
'Pazar günü geç kalkan tek insan sevgilim galiba',Positive
'Gunaydin, dogum gunun kutlu olsun sevgilim 108',Positive
'Arkadaþlarýma twitterý bu da sevgilim diyerek tanýþtýrdým',Positive
'amacýolmayansayfatt Hem sevgilim yok, hem þarjým bitiyo. Saçmalýða bak',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Acaba sevgilim olduðunda vatsap durumuma tarih yazacak mýyým......',Positive
'Askýn Eþ anlamý sensin sevgilim ????????????',Positive
'amacýolmayansayfatt Ayrýldýktan 2 gün sonra yeni birine Sevgilim diyecek kadar basit olmayýn.',Negative
'amacýolmayansayfatt Allah biliyo sevgilim olunca kýskançlýk krizine gireceðimi, o yüzden vermiyo valla bak.',Positive
'Sanki bilmiyorsun sevgilim ben dua’m da en çok sana yer verdiðimi...',Positive
'sevgilim bana gül alsa reçelini yaparým',Positive
'Bir ömür yetmez ki sana doymaya, Ah be sevgilim.',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim',Positive
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilim olsa bile kesin günaydýn mesajý almam. Benden önce uyanmaz ki mesaj atsýn :Dd',Negative
'Otobüste tivit atiyimde sevgilim var sansýnlar',Positive
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Aylin Þengün Taþçý &amp; Nazende Sevgilim (2012)',Negative
'Onlara seviþmeden sevmenin de mümkün olduðunu anlat sevgilim. [Ýncir Reçeli]',Negative
'Bak bir pazar sabahýna daha sevgilim, ayrý hayatlar da uyandýk.',Negative
'Biricik sevgilim ??',Positive
'Hüso tivitirda gördüðü her kýzý sevgilim sanýyo ??',Positive
'kavgamý,kavgamý,kavgamý seviyorum(x2) sen kavgamýn içinde bir insansýn sevgilim(x2) SENÝ SEVÝYORUM',Negative
'Benim sevgilim geceleri mesajlaþýrken elinde telefonla uyuya kalýyor, yanlýþ anlamayýn bana düþkünlüðünden deðil uykuya düþkünlüðünden.',Positive
'Edward Said,Sevgilim Gazze mutlaka döneceðim -',Negative
'sen kavgamýn içinde bir insansýn sevgilim(x2) SENÝ SEVÝYORUM',Negative
'sevgilim olursa instagram, twitter ne var ne yok hepsini kapatýcam çünkü aþk fedakarlýk gerektirir',Positive
'bir de sevgilim BestFandomCA2015 Directioners',Positive
'Kum tanelerini sayabilir misin sevgilim ?Peki ya yýldýzlarý. Evet saymak imkansýz. Sana olan sevgim yeryüzünde kum gökyüzünde yýldýz. EZ',Positive
'Eski sevgilim de evlendiðine göre bende yavaþ yavaþ hazýrlýklara baþlayabilirim demektir',Positive
'Öykünün hiçmi erkek arkadaþý yok sevgilim diye tanýtacaðý yoksa getirin o zaman bakalým Mete ne yapacak????#KirazMevsimi',Positive
'benim neden sevgilim yok amk lgbt',Positive
'Fedakâr sevgilim',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Her zaman Ýzmirli bir sevgilim olmasýný istemiþimdir',Positive
'eski sevgilim 2 sene once onda kalan metalika kolyesiyle suan hallenmeye calisiyo beynine kalem soktugum',Positive
'“Çýk gel sevgilim, Ellerinde papatyalar bir pazar sabahý. Bir bahar müjdesi gibi çýk gel.”',Negative
'Sevgilim ve ben ayrýlamýyoruz ??????',Negative
'bir de sevgilim BestFandomCA2015 Directioners',Positive
'ndksnsjsnsjsns ya evet cok dillendirmek istemedim ama sevgilim var...',Positive
'Her saniye benim niye sevgilim yok diyennlere,kusura bakmayýn siz daha çok ah oh çekersiniz..',Positive
'Sevgilim var mý? Hayýr. Peki olacak mý ? Hayýr. Böyle mutlu muyum ? Hayýr. Çaresi var mý? Hayýr. Hakikaten her iþte bir hayýr varmýþ bak.',Positive
'Sevgilim olmadýðý için aþk tweetleri atmýyom atamýyom niye anlamýyonuz ya ??????',Negative
'Eðer tipim fotoðraflardaki gibi ve sesim de videolardaki gibiyse sevgilim olmamasý çok normal.',Positive
'Fedakâr sevgilim',Positive
'Sevgilim uzatma istersen artýk alt üstü mesajýna 3 sene sonra cevap verdim bunda abartýlýcak biþey yok ??????',Negative
'Milletin derdi benim sevgilim kim onu öðrenmek olmuþ ne meraklýlar var aq',Positive
'Sevgilim diye demiyorum hiç yoktur kendisi',Negative
'Senin sevgilim dediðin erkeðe bakýyorum ve seni ciddiye almamam gerektiðimi tekrar daha iyi anlýyorum??',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'eski sevgilim hobi olarak 3ayda bir beni engelliyor ve sonra tekrar takip ediyor',Positive
'Günaydýn sevgilim, uyan artýk; bak, sabah oldu. Gözlerine hasret kaldýðým kadýn Kendi gibi gönlü güzel sevdigim Günaydýn',Positive
